fire_radiance,Longitude,Latitude,geometry
1.0202024,-122.75389,40.105064,POINT (-122.7538909912109 40.10506439208984)
0.9393198,-122.74497,40.103733,POINT (-122.7449722290039 40.10373306274414)
0.85034883,-122.65546,40.090405,POINT (-122.6554565429688 40.09040451049805)
2.1606483,-122.646454,40.089046,POINT (-122.6464538574219 40.08904647827148)
0.93123156,-122.63743,40.087708,POINT (-122.6374282836914 40.08770751953125)
3.535654,-122.74652,40.097107,POINT (-122.7465209960938 40.09710693359375)
1.9260886,-122.73768,40.095795,POINT (-122.737678527832 40.09579467773438)
2.6216798,-122.6661,40.08515,POINT (-122.6660995483398 40.08515167236328)
3.0018284,-122.73916,40.08917,POINT (-122.7391586303711 40.08916854858398)
1.667264,-122.73029,40.087856,POINT (-122.7302932739258 40.08785629272461)
1.1738795,-122.71253,40.085217,POINT (-122.712532043457 40.0852165222168)
5.7194867,-122.7036,40.08388,POINT (-122.7035980224609 40.08388137817383)
2.8805044,-122.69468,40.082554,POINT (-122.6946792602539 40.08255386352539)
1.5378517,-122.685715,40.08122,POINT (-122.6857147216797 40.08121871948242)
3.050358,-122.66776,40.07854,POINT (-122.6677627563477 40.07854080200195)
2.4599144,-122.7407,40.082554,POINT (-122.7406997680664 40.08255386352539)
3.4628599,-122.731834,40.08124,POINT (-122.7318344116211 40.08124160766602)
4.8136005,-122.72292,40.07991,POINT (-122.7229232788086 40.07991027832031)
2.3790317,-122.714005,40.078587,POINT (-122.7140045166016 40.07858657836914)
1.4246159,-122.70514,40.077263,POINT (-122.7051391601562 40.07726287841797)
1.7724115,-123.07825,40.12531,POINT (-123.0782470703125 40.12530899047852)
1.5863813,-123.06902,40.12397,POINT (-123.0690231323242 40.12397003173828)
1.4246159,-123.05986,40.122635,POINT (-123.0598602294922 40.12263488769531)
1.0849086,-123.05083,40.12132,POINT (-123.0508270263672 40.12131881713867)
1.1981443,-121.08993,39.817753,POINT (-121.0899276733398 39.81775283813477)
0.915055,-121.080795,39.816257,POINT (-121.0807952880859 39.81625747680664)
1.6753522,-123.07972,40.118656,POINT (-123.079719543457 40.11865615844727)
0.915055,-121.091835,39.811207,POINT (-121.0918350219727 39.81120681762695)
7.4422884,-120.081116,39.640495,POINT (-120.0811157226562 39.64049530029297)
2.662121,-120.07202,39.638912,POINT (-120.072021484375 39.63891220092773)
0.9716729,-123.07199,40.110672,POINT (-123.0719909667969 40.11067199707031)
1.2385857,-122.982635,40.09079,POINT (-122.9826354980469 40.09078979492188)
2.2253547,-122.97351,40.08946,POINT (-122.9735107421875 40.08945846557617)
1.2385857,-122.96447,40.088135,POINT (-122.964469909668 40.088134765625)
0.89079016,-122.98415,40.08415,POINT (-122.9841537475586 40.08414840698242)
1.9746182,-122.97503,40.08283,POINT (-122.9750289916992 40.08282852172852)
1.3032919,-122.966125,40.081512,POINT (-122.9661254882812 40.08151245117188)
0.9635846,-122.64671,39.93245,POINT (-122.6467132568359 39.93244934082031)
1.6268226,-122.63771,39.931103,POINT (-122.6377105712891 39.93110275268555)
1.5540283,-122.628914,39.929783,POINT (-122.6289138793945 39.92978286743164)
0.9393198,-122.62013,39.928455,POINT (-122.6201324462891 39.9284553527832)
1.2952036,-122.66618,39.928524,POINT (-122.6661834716797 39.92852401733398)
1.3437332,-122.657234,39.927197,POINT (-122.6572341918945 39.92719650268555)
1.246674,-122.64826,39.92585,POINT (-122.6482620239258 39.92584991455078)
1.1900561,-122.630486,39.923172,POINT (-122.630485534668 39.92317199707031)
1.456969,-122.62174,39.92186,POINT (-122.6217422485352 39.92185974121094)
2.5165322,-122.6767,39.923264,POINT (-122.6766967773438 39.92326354980469)
0.9554964,-122.667725,39.92193,POINT (-122.667724609375 39.92192840576172)
0.9554964,-122.62341,39.915276,POINT (-122.6234130859375 39.91527557373047)
1.877559,-122.88572,39.947388,POINT (-122.8857192993164 39.9473876953125)
1.2790271,-122.876595,39.94605,POINT (-122.876594543457 39.94604873657227)
2.2900608,-122.68718,39.917995,POINT (-122.6871795654297 39.91799545288086)
1.0606438,-122.63382,39.910004,POINT (-122.6338195800781 39.91000366210938)
2.6782978,-122.90523,39.94341,POINT (-122.9052276611328 39.94340896606445)
1.9018238,-122.89625,39.942093,POINT (-122.8962478637695 39.94209289550781)
2.0069714,-122.88721,39.94076,POINT (-122.88720703125 39.94076156616211)
13.718785,-122.878105,39.939434,POINT (-122.8781051635742 39.93943405151367)
5.6790457,-122.86915,39.9381,POINT (-122.8691482543945 39.9380989074707)
1.5944695,-122.70647,39.914062,POINT (-122.7064666748047 39.9140625)
1.1415265,-122.697624,39.91273,POINT (-122.697624206543 39.9127311706543)
1.9180003,-122.68883,39.911396,POINT (-122.6888275146484 39.91139602661133)
0.9635846,-122.65328,39.90608,POINT (-122.6532821655273 39.90607833862305)
0.89887846,-122.64441,39.904743,POINT (-122.6444091796875 39.90474319458008)
0.88270193,-122.91261,39.939064,POINT (-122.9126129150391 39.93906402587891)
4.3849225,-122.903656,39.93773,POINT (-122.9036560058594 39.93772888183594)
3.592272,-122.894745,39.93642,POINT (-122.8947448730469 39.93642044067383)
7.7253776,-122.88574,39.935085,POINT (-122.8857421875 39.93508529663086)
14.365847,-122.87674,39.933754,POINT (-122.8767395019531 39.93375396728516)
6.560667,-122.70519,39.90814,POINT (-122.705192565918 39.90813827514648)
3.6003604,-122.69634,39.906826,POINT (-122.6963424682617 39.90682601928711)
1.6429992,-122.687515,39.905506,POINT (-122.6875152587891 39.9055061340332)
0.9716729,-122.67868,39.904182,POINT (-122.6786804199219 39.90418243408203)
1.0040259,-122.669815,39.902863,POINT (-122.6698150634766 39.90286254882812)
1.1657913,-122.66092,39.90154,POINT (-122.6609191894531 39.90153884887695)
1.1657913,-122.65198,39.900192,POINT (-122.6519775390625 39.90019226074219)
30.752682,-122.905334,39.931133,POINT (-122.9053344726562 39.93113327026367)
17.730568,-122.89652,39.929836,POINT (-122.8965225219727 39.92983627319336)
0.93123156,-122.88756,39.92851,POINT (-122.8875579833984 39.92850875854492)
1.1657913,-122.70693,39.90157,POINT (-122.7069320678711 39.90156936645508)
5.14522,-122.69808,39.90025,POINT (-122.6980819702148 39.90024948120117)
5.250367,-122.68927,39.89894,POINT (-122.6892700195312 39.89894104003906)
3.325359,-122.68043,39.897606,POINT (-122.6804275512695 39.89760589599609)
3.0422697,-122.67154,39.896282,POINT (-122.6715393066406 39.89628219604492)
6.439343,-122.66266,39.89495,POINT (-122.6626586914062 39.89495086669922)
1.3113801,-122.699776,39.89366,POINT (-122.6997756958008 39.89366149902344)
6.164342,-122.69097,39.892345,POINT (-122.6909713745117 39.8923454284668)
1.3275567,-122.67329,39.8897,POINT (-122.6732864379883 39.88970184326172)
0.9797612,-122.611336,39.805134,POINT (-122.6113357543945 39.80513381958008)
1.1334382,-122.6308,39.80121,POINT (-122.6307983398438 39.80120849609375)
1.877559,-122.621925,39.79988,POINT (-122.6219253540039 39.79988098144531)
10.151858,-122.61299,39.79853,POINT (-122.6129913330078 39.79853057861328)
5.4768386,-122.60408,39.797184,POINT (-122.6040802001953 39.79718399047852)
11.300393,-122.650116,39.79729,POINT (-122.6501159667969 39.79729080200195)
4.30404,-122.64122,39.79595,POINT (-122.6412200927734 39.79595184326172)
1.2628505,-122.632355,39.794617,POINT (-122.6323547363281 39.79461669921875)
1.0202024,-122.623505,39.79328,POINT (-122.6235046386719 39.79328155517578)
1.1010852,-122.61464,39.79194,POINT (-122.6146392822266 39.79193878173828)
4.449629,-122.60572,39.790596,POINT (-122.6057205200195 39.79059600830078)
7.523171,-122.5968,39.789257,POINT (-122.5968017578125 39.78925704956055)
4.7731595,-122.65826,39.792377,POINT (-122.6582565307617 39.79237747192383)
67.54622,-122.64937,39.79104,POINT (-122.6493682861328 39.79103851318359)
3.3010943,-122.64049,39.789696,POINT (-122.6404876708984 39.78969573974609)
0.9797612,-122.63158,39.788364,POINT (-122.6315765380859 39.78836441040039)
0.9635846,-122.61389,39.78571,POINT (-122.6138916015625 39.78570938110352)
1.4084394,-122.60497,39.78437,POINT (-122.6049728393555 39.78437042236328)
1.4650573,-122.59608,39.78303,POINT (-122.596076965332 39.78303146362305)
0.89887846,-122.57824,39.78034,POINT (-122.578239440918 39.78033828735352)
3.2121234,-122.65984,39.785767,POINT (-122.6598434448242 39.7857666015625)
2.4113848,-122.65098,39.78444,POINT (-122.6509780883789 39.78443908691406)
1.036379,-122.64211,39.7831,POINT (-122.6421127319336 39.78310012817383)
0.9716729,-122.588806,39.775085,POINT (-122.5888061523438 39.77508544921875)
2.6135914,-122.67023,39.780476,POINT (-122.6702270507812 39.78047561645508)
2.055501,-122.661415,39.779163,POINT (-122.6614151000977 39.7791633605957)
0.9554964,-122.59038,39.768486,POINT (-122.5903778076172 39.76848602294922)
0.85034883,-122.5815,39.767143,POINT (-122.5814971923828 39.76714324951172)
0.9716729,-122.68072,39.77521,POINT (-122.6807174682617 39.77521133422852)
1.246674,-122.583084,39.760532,POINT (-122.5830841064453 39.76053237915039)
0.85034883,-122.57584,39.7526,POINT (-122.5758438110352 39.75260162353516)
1.0849086,-122.595146,39.74866,POINT (-122.5951461791992 39.74866104125977)
1.2628505,-122.58632,39.74734,POINT (-122.5863189697266 39.74734115600586)
1.0929968,-122.57907,39.73941,POINT (-122.5790710449219 39.73941040039062)
2.4599144,-122.714905,39.75299,POINT (-122.7149047851562 39.75299072265625)
0.87461364,-122.7057,39.751617,POINT (-122.7057037353516 39.75161743164062)
2.0474126,-122.72574,39.74777,POINT (-122.7257385253906 39.74776840209961)
4.6518354,-122.71673,39.746426,POINT (-122.7167282104492 39.74642562866211)
5.541545,-122.76272,39.74646,POINT (-122.7627182006836 39.7464599609375)
5.250367,-122.75391,39.74514,POINT (-122.75390625 39.74514007568359)
1.6187344,-122.745056,39.743824,POINT (-122.7450561523438 39.74382400512695)
9.53715,-122.77328,39.741196,POINT (-122.7732772827148 39.74119567871094)
12.004072,-122.76446,39.739883,POINT (-122.7644577026367 39.73988342285156)
0.85034883,-122.7556,39.738556,POINT (-122.7555999755859 39.73855590820312)
2.7106507,-122.78388,39.735935,POINT (-122.7838821411133 39.73593521118164)
16.64674,-122.77507,39.734627,POINT (-122.7750701904297 39.73462677001953)
0.9878494,-122.76628,39.733303,POINT (-122.7662811279297 39.73330307006836)
3.1635938,-122.78558,39.72935,POINT (-122.7855834960938 39.72935104370117)
3.4466832,-122.77683,39.72803,POINT (-122.7768325805664 39.72803115844727)
13.314372,-122.79595,39.72406,POINT (-122.7959518432617 39.72406005859375)
20.14896,-122.787224,39.722744,POINT (-122.787223815918 39.72274398803711)
1.400351,-122.77847,39.72143,POINT (-122.7784729003906 39.72143173217773)
1.0929968,-122.797676,39.71748,POINT (-122.7976760864258 39.71747970581055)
12.651134,-122.78895,39.716164,POINT (-122.788948059082 39.71616363525391)
1.5378517,-122.780174,39.714844,POINT (-122.7801742553711 39.71484375)
0.915055,-122.54802,39.67997,POINT (-122.5480194091797 39.67996978759766)
1.9907948,-122.78174,39.70825,POINT (-122.78173828125 39.70824813842773)
1.4488807,-122.78945,39.7037,POINT (-122.7894515991211 39.70370101928711)
0.9635846,-122.78052,39.702366,POINT (-122.780517578125 39.70236587524414)
1.667264,-122.7909,39.697067,POINT (-122.790901184082 39.69706726074219)
1.3518214,-122.78193,39.695736,POINT (-122.7819290161133 39.69573593139648)
1.1900561,-122.792366,39.69044,POINT (-122.792366027832 39.6904411315918)
1.6268226,-122.7834,39.689106,POINT (-122.7834014892578 39.68910598754883)
1.0606438,-122.793976,39.683838,POINT (-122.7939758300781 39.683837890625)
0.9878494,-122.78506,39.682514,POINT (-122.7850570678711 39.68251419067383)
2.2172663,-122.80455,39.678585,POINT (-122.8045501708984 39.67858505249023)
1.9099121,-122.795654,39.677254,POINT (-122.795654296875 39.67725372314453)
4.279775,-122.806244,39.671993,POINT (-122.8062438964844 39.67199325561523)
6.059194,-122.79743,39.670677,POINT (-122.7974319458008 39.67067718505859)
0.93123156,-122.78867,39.669376,POINT (-122.7886734008789 39.66937637329102)
1.8290293,-122.8168,39.66674,POINT (-122.8168029785156 39.66674041748047)
6.1239004,-122.80789,39.665405,POINT (-122.8078918457031 39.6654052734375)
4.8702188,-122.79914,39.6641,POINT (-122.7991409301758 39.66410064697266)
1.5540283,-122.79042,39.6628,POINT (-122.7904205322266 39.66279983520508)
5.0562487,-122.781624,39.661484,POINT (-122.781623840332 39.66148376464844)
5.662869,-122.772736,39.66016,POINT (-122.7727355957031 39.66016006469727)
1.0606438,-122.763756,39.658817,POINT (-122.7637557983398 39.65881729125977)
0.92314327,-122.75485,39.657486,POINT (-122.7548522949219 39.65748596191406)
0.9959377,-122.7458,39.656116,POINT (-122.7457962036133 39.6561164855957)
0.9716729,-122.73671,39.654762,POINT (-122.7367095947266 39.65476226806641)
0.85034883,-122.72769,39.653408,POINT (-122.7276916503906 39.65340805053711)
1.3518214,-122.70991,39.65074,POINT (-122.7099075317383 39.65074157714844)
2.2981489,-122.701096,39.64941,POINT (-122.7010955810547 39.64941024780273)
3.139329,-122.692215,39.648075,POINT (-122.6922149658203 39.64807510375977)
4.878307,-122.68338,39.646748,POINT (-122.6833801269531 39.64674758911133)
1.1900561,-122.6745,39.64541,POINT (-122.6744995117188 39.64540863037109)
1.8290293,-122.81845,39.66015,POINT (-122.8184509277344 39.66014862060547)
0.9797612,-122.80952,39.658806,POINT (-122.8095169067383 39.65880584716797)
1.1091734,-122.80072,39.657497,POINT (-122.8007202148438 39.65749740600586)
1.8856473,-122.79202,39.656193,POINT (-122.7920227050781 39.65619277954102)
1.6834406,-122.783195,39.654877,POINT (-122.7831954956055 39.65487670898438)
1.3194684,-122.77426,39.653545,POINT (-122.7742614746094 39.65354537963867)
5.007719,-122.765274,39.652195,POINT (-122.7652740478516 39.65219497680664)
5.0643373,-122.75639,39.650864,POINT (-122.7563934326172 39.65086364746094)
18.74969,-122.74732,39.649506,POINT (-122.7473220825195 39.64950561523438)
13.565108,-122.73832,39.648155,POINT (-122.7383193969727 39.64815521240234)
14.77026,-122.729385,39.646828,POINT (-122.7293853759766 39.64682769775391)
12.440839,-122.72052,39.645496,POINT (-122.7205200195312 39.6454963684082)
8.979059,-122.711655,39.644157,POINT (-122.7116546630859 39.64415740966797)
7.9356728,-122.70275,39.642822,POINT (-122.702751159668 39.642822265625)
28.989439,-122.693855,39.641487,POINT (-122.6938552856445 39.64148712158203)
11.615835,-122.68495,39.640144,POINT (-122.6849517822266 39.64014434814453)
2.0716774,-122.67602,39.63881,POINT (-122.6760177612305 39.63880920410156)
1.1415265,-122.66712,39.63747,POINT (-122.667121887207 39.63747024536133)
1.1091734,-122.82899,39.65488,POINT (-122.828987121582 39.65488052368164)
1.068732,-122.81116,39.652214,POINT (-122.8111572265625 39.65221405029297)
1.4488807,-122.80229,39.6509,POINT (-122.8022918701172 39.65090179443359)
8.243027,-122.76678,39.645588,POINT (-122.7667770385742 39.64558792114258)
